iso3,country_raw,readiness_rank,readiness_score,GOV_WGI_CC_EST,GOV_WGI_PV_EST,GOV_WGI_RL_EST,IP.JRN.ARTC.SC,IT.CEL.SETS.P2,IT.NET.BBND.P2,NY.GDP.PCAP.PP.CD,SE.TER.ENRR,TX.VAL.TECH.MF.ZS,predictor_year,outcome_year,era,region,income_classification
USA,United States of America,1,85.72133804,1.1247591,-0.126399999999999,1.0279752,471378.18,106.324514306135,37.0074278936277,71307.40172772181,84.8550872802734,19.90146141317924,2021,2022,0,North America,High income
SGP,Singapore,2,84.1162602,2.0800635,1.2816641,1.4327468,12432.16,157.977675166643,27.5210996900631,132617.3540208764,97.0989103061521,54.972275251408654,2021,2022,0,East Asia & Pacific,High income
GBR,United Kingdom,3,78.54010209,1.6641761,0.4363658,1.3061844,108095.52,117.887430294308,41.1134869970784,51004.42717142381,76.7543563842773,23.86540571821931,2021,2022,0,Europe & Central Asia,High income
FIN,Finland,4,77.59332703,2.2264683,1.1287431,2.0708538,11446.35,129.036333202492,33.6396818306917,56790.376617769165,100.868072509766,10.29375385362533,2021,2022,0,Europe & Central Asia,High income
CAN,Canada,5,77.38916245,1.6156132,0.7604154,1.5493331,68647.82,87.4056019628826,41.6930962576979,56995.11767813512,79.7657318115234,16.337628887139992,2021,2022,0,North America,High income
KOR,Republic of Korea,6,76.75699843,0.7614152,0.9005342,1.1681575,72352.13,140.516382791931,44.2526082339633,51718.25186566312,100.359878540039,36.01450367448602,2021,2022,0,East Asia & Pacific,High income
FRA,France,7,75.78358408,1.422803,0.1241525,1.0805521,67690.4,113.952719366702,47.6442336298287,52517.33549058552,69.9397888183594,22.30500308556504,2021,2022,0,Europe & Central Asia,High income
AUS,Australia,8,75.29178001,1.6770561,0.8536507,1.5701838,60308.46,105.118514623956,35.8359861455454,58327.41468423248,112.688293457031,22.39407660085994,2021,2022,0,East Asia & Pacific,High income
JPN,Japan,9,75.2536366,1.4554011,1.1600529,1.5319019,106309.76,159.516123485628,35.9391724358064,44355.3487163354,62.0412483215332,18.003991348261415,2021,2022,0,East Asia & Pacific,High income
NLD,Netherlands,10,75.11228339,2.0280226,0.732977,1.7767646,34144.24,123.447849713072,42.9460563127039,68573.56487864463,89.3898620605469,22.002321190827328,2021,2022,0,Europe & Central Asia,High income
DNK,Denmark,11,74.79016756,2.2948313,0.8409469,2.0133921,15879.3,125.604137839658,44.9598379722906,69715.18096809289,83.982292175293,13.924798203132632,2021,2022,0,Europe & Central Asia,High income
NOR,Norway,12,73.0897855,2.070812,1.0721678,2.0582629,13802.78,109.585637519783,44.9392216218255,88984.1386736515,93.9243011474609,20.586371589954304,2021,2022,0,Europe & Central Asia,High income
SWE,Sweden,13,73.05606154,2.0899139,0.9471541,1.7883138,22021.79,124.96149481991,40.8351431063991,62731.70061629304,85.9426193237305,13.934831746892607,2021,2022,0,Europe & Central Asia,High income
DEU,Germany,15,72.64159902,1.8243293,0.6603045,1.6349496,117127.47,127.125099449404,44.0643361489671,62530.765319923936,75.6655426025391,15.385104822776526,2021,2022,0,Europe & Central Asia,High income
AUT,Austria,16,71.49081059,1.3601171,0.7543747,1.7167011,14370.95,121.357731973824,29.2537339731419,62968.942231189205,93.940071105957,11.017122140568004,2021,2022,0,Europe & Central Asia,High income
CHN,China,17,70.83634174,0.0556852,-0.259168,-0.5386195,756203.38,121.491918368395,37.5611751315805,20843.29783473765,66.8186077597542,30.21907327965956,2021,2022,0,East Asia & Pacific,Upper middle income
IRL,Ireland,18,70.75787951,1.6117468,0.7362963,1.5453584,9216.71,106.86972424373,31.3616427884193,116903.61243516988,78.4613265991211,28.478147527199187,2021,2022,0,Europe & Central Asia,High income
