country_raw,year,readiness_rank,readiness_score,era,iso3
United States of America,2021,1,88.15961153,0,USA
Singapore,2021,2,82.45681323,0,SGP
United Kingdom,2021,3,81.25074503,0,GBR
Finland,2021,4,79.23374229,0,FIN
Netherlands,2021,5,78.50681097,0,NLD
Sweden,2021,6,78.1646107,0,SWE
Canada,2021,7,77.73085276,0,CAN
Germany,2021,8,77.26444673,0,DEU
Denmark,2021,9,76.95991775,0,DNK
Republic of Korea,2021,10,76.54734155,0,KOR
France,2021,11,76.41358024,0,FRA
Japan,2021,12,76.17752679,0,JPN
Norway,2021,13,76.13517078,0,NOR
Australia,2021,14,75.40980096,0,AUS
China,2021,15,74.42075762,0,CHN
Luxembourg,2021,16,73.37376397,0,LUX
Ireland,2021,17,72.79927998,0,IRL
Taiwan,2021,18,71.97943147,0,TWN
United Arab Emirates,2021,19,71.59684283,0,ARE
Israel,2021,20,70.00840751,0,ISR
Estonia,2021,21,69.18310231,0,EST
Switzerland,2021,22,68.56419978,0,CHE
New Zealand,2021,23,68.08408201,0,NZL
Austria,2021,24,68.07358716,0,AUT
Spain,2021,25,67.67652903,0,ESP
Qatar,2021,26,67.18031989,0,QAT
Italy,2021,27,67.07136413,0,ITA
Belgium,2021,28,66.16481528,0,BEL
Czech Republic,2021,29,65.95432334,0,CZE
Lithuania,2021,30,65.19059203,0,LTU
Slovenia,2021,31,65.0527651,0,SVN
Malta,2021,32,64.84862898,0,MLT
Portugal,2021,33,64.31109865,0,PRT
Saudi Arabia,2021,34,63.41823204,0,SAU
Poland,2021,35,62.50277705,0,POL
Malaysia,2021,36,62.45903786,0,MYS
Latvia,2021,37,62.2662637,0,LVA
Russian Federation,2021,38,61.93369511,0,RUS
Slovakia,2021,39,61.622784,0,SVK
Brazil,2021,40,60.63532,0,BRA
Chile,2021,41,60.41748563,0,CHL
Bulgaria,2021,42,60.06809672,0,BGR
Hungary,2021,43,59.71500633,0,HUN
Cyprus,2021,44,59.71494208,0,CYP
Colombia,2021,45,58.91032079,0,COL
Iceland,2021,46,58.52549589,0,ISL
Indonesia,2021,47,58.13597168,0,IDN
Uruguay,2021,48,57.92660526,0,URY
Oman,2021,49,57.25811351,0,OMN
Greece,2021,50,56.22319444,0,GRC
India,2021,51,56.10603803,0,IND
Serbia,2021,52,55.9756157,0,SRB
Turkey,2021,53,55.48568205,0,TUR
Argentina,2021,54,54.35665427,0,ARG
Bahrain,2021,55,53.53874411,0,BHR
Romania,2021,56,53.22358321,0,ROU
Brunei Darussalam,2021,57,52.92662721,0,BRN
Mauritius,2021,58,52.71322634,0,MUS
Thailand,2021,59,52.62806047,0,THA
Mexico,2021,60,52.62055216,0,MEX
Croatia,2021,61,52.29801885,0,HRV
Viet Nam,2021,62,51.81976952,0,VNM
Kuwait,2021,63,50.96595392,0,KWT
Ukraine,2021,64,50.57953842,0,UKR
