country_raw,year,readiness_rank,readiness_score,era,iso3,n_countries_that_year,percentile_rank,percentile_rank_higher_is_better,score_percentile_within_year,tier
United States of America,2021,1,88.15961153,0,USA,160,0.00625,0.99375,1.0,Top
Singapore,2021,2,82.45681323,0,SGP,160,0.0125,0.9875,0.99375,Top
United Kingdom,2021,3,81.25074503,0,GBR,160,0.01875,0.98125,0.9875,Top
Finland,2021,4,79.23374229,0,FIN,160,0.025,0.975,0.98125,Top
Netherlands,2021,5,78.50681097,0,NLD,160,0.03125,0.96875,0.975,Top
Sweden,2021,6,78.1646107,0,SWE,160,0.0375,0.9625,0.96875,Top
Canada,2021,7,77.73085276,0,CAN,160,0.04375,0.95625,0.9625,Top
Germany,2021,8,77.26444673,0,DEU,160,0.05,0.95,0.95625,Top
Denmark,2021,9,76.95991775,0,DNK,160,0.05625,0.94375,0.95,Top
Republic of Korea,2021,10,76.54734155,0,KOR,160,0.0625,0.9375,0.94375,Top
France,2021,11,76.41358024,0,FRA,160,0.06875,0.93125,0.9375,Top
Japan,2021,12,76.17752679,0,JPN,160,0.075,0.925,0.93125,Top
Norway,2021,13,76.13517078,0,NOR,160,0.08125,0.91875,0.925,Top
Australia,2021,14,75.40980096,0,AUS,160,0.0875,0.9125,0.91875,Top
China,2021,15,74.42075762,0,CHN,160,0.09375,0.90625,0.9125,Top
Luxembourg,2021,16,73.37376397,0,LUX,160,0.1,0.9,0.90625,Top
Ireland,2021,17,72.79927998,0,IRL,160,0.10625,0.89375,0.9,Top
Taiwan,2021,18,71.97943147,0,TWN,160,0.1125,0.8875,0.89375,Top
United Arab Emirates,2021,19,71.59684283,0,ARE,160,0.11875,0.88125,0.8875,Top
Israel,2021,20,70.00840751,0,ISR,160,0.125,0.875,0.88125,Top
Estonia,2021,21,69.18310231,0,EST,160,0.13125,0.86875,0.875,Top
Switzerland,2021,22,68.56419978,0,CHE,160,0.1375,0.8625,0.86875,Top
New Zealand,2021,23,68.08408201,0,NZL,160,0.14375,0.85625,0.8625,Top
Austria,2021,24,68.07358716,0,AUT,160,0.15,0.85,0.85625,Top
Spain,2021,25,67.67652903,0,ESP,160,0.15625,0.84375,0.85,Top
Qatar,2021,26,67.18031989,0,QAT,160,0.1625,0.8375,0.84375,Top
Italy,2021,27,67.07136413,0,ITA,160,0.16875,0.83125,0.8375,Top
Belgium,2021,28,66.16481528,0,BEL,160,0.175,0.825,0.83125,Top
Czech Republic,2021,29,65.95432334,0,CZE,160,0.18125,0.81875,0.825,Top
Lithuania,2021,30,65.19059203,0,LTU,160,0.1875,0.8125,0.81875,Top
Slovenia,2021,31,65.0527651,0,SVN,160,0.19375,0.80625,0.8125,Top
Malta,2021,32,64.84862898,0,MLT,160,0.2,0.8,0.80625,Top
Portugal,2021,33,64.31109865,0,PRT,160,0.20625,0.79375,0.8,Top
Saudi Arabia,2021,34,63.41823204,0,SAU,160,0.2125,0.7875,0.79375,Top
Poland,2021,35,62.50277705,0,POL,160,0.21875,0.78125,0.7875,Top
Malaysia,2021,36,62.45903786,0,MYS,160,0.225,0.775,0.78125,Top
Latvia,2021,37,62.2662637,0,LVA,160,0.23125,0.76875,0.775,Top
Russian Federation,2021,38,61.93369511,0,RUS,160,0.2375,0.7625,0.76875,Top
Slovakia,2021,39,61.622784,0,SVK,160,0.24375,0.75625,0.7625,Top
Brazil,2021,40,60.63532,0,BRA,160,0.25,0.75,0.75625,Top
Chile,2021,41,60.41748563,0,CHL,160,0.25625,0.74375,0.75,Top
Bulgaria,2021,42,60.06809672,0,BGR,160,0.2625,0.7375,0.74375,Top
Hungary,2021,43,59.71500633,0,HUN,160,0.26875,0.73125,0.7375,Top
Cyprus,2021,44,59.71494208,0,CYP,160,0.275,0.725,0.73125,Top
Colombia,2021,45,58.91032079,0,COL,160,0.28125,0.71875,0.725,Top
Iceland,2021,46,58.52549589,0,ISL,160,0.2875,0.7125,0.71875,Top
Indonesia,2021,47,58.13597168,0,IDN,160,0.29375,0.70625,0.7125,Top
Uruguay,2021,48,57.92660526,0,URY,160,0.3,0.7,0.70625,Top
Oman,2021,49,57.25811351,0,OMN,160,0.30625,0.69375,0.7,Top
Greece,2021,50,56.22319444,0,GRC,160,0.3125,0.6875,0.69375,Top
India,2021,51,56.10603803,0,IND,160,0.31875,0.68125,0.6875,Top
Serbia,2021,52,55.9756157,0,SRB,160,0.325,0.675,0.68125,Top
Turkey,2021,53,55.48568205,0,TUR,160,0.33125,0.66875,0.675,Top
Argentina,2021,54,54.35665427,0,ARG,160,0.3375,0.6625,0.66875,Top
Bahrain,2021,55,53.53874411,0,BHR,160,0.34375,0.65625,0.6625,Mid
Romania,2021,56,53.22358321,0,ROU,160,0.35,0.65,0.65625,Mid
Brunei Darussalam,2021,57,52.92662721,0,BRN,160,0.35625,0.64375,0.65,Mid
Mauritius,2021,58,52.71322634,0,MUS,160,0.3625,0.6375,0.64375,Mid
Thailand,2021,59,52.62806047,0,THA,160,0.36875,0.63125,0.6375,Mid
Mexico,2021,60,52.62055216,0,MEX,160,0.375,0.625,0.63125,Mid
Croatia,2021,61,52.29801885,0,HRV,160,0.38125,0.61875,0.625,Mid
Viet Nam,2021,62,51.81976952,0,VNM,160,0.3875,0.6125,0.61875,Mid
Kuwait,2021,63,50.96595392,0,KWT,160,0.39375,0.60625,0.6125,Mid
Ukraine,2021,64,50.57953842,0,UKR,160,0.4,0.6,0.60625,Mid
Egypt,2021,65,49.75186942,0,EGY,160,0.40625,0.59375,0.6,Mid
Kazakhstan,2021,66,48.42782516,0,KAZ,160,0.4125,0.5875,0.59375,Mid
Azerbaijan,2021,67,48.26467933,0,AZE,160,0.41875,0.58125,0.5875,Mid
South Africa,2021,68,48.23683389,0,ZAF,160,0.425,0.575,0.58125,Mid
Fiji,2021,69,48.16911225,0,FJI,160,0.43125,0.56875,0.575,Mid
Seychelles,2021,70,47.47717158,0,SYC,160,0.4375,0.5625,0.56875,Mid
Philippines,2021,71,47.204124,0,PHL,160,0.44375,0.55625,0.5625,Mid
Iran,2021,72,46.2258541,0,IRN,160,0.45,0.55,0.55625,Mid
Belarus,2021,73,46.19630163,0,BLR,160,0.45625,0.54375,0.55,Mid
Costa Rica,2021,74,46.18967035,0,CRI,160,0.4625,0.5375,0.54375,Mid
Montenegro,2021,75,46.09707305,0,MNE,160,0.46875,0.53125,0.5375,Mid
Armenia,2021,76,45.92539398,0,ARM,160,0.475,0.525,0.53125,Mid
Tunisia,2021,77,45.71261411,0,TUN,160,0.48125,0.51875,0.525,Mid
Kenya,2021,78,45.53691503,0,KEN,160,0.4875,0.5125,0.51875,Mid
Georgia,2021,79,45.41491686,0,GEO,160,0.49375,0.50625,0.5125,Mid
