iso3,country_raw,readiness_rank,readiness_score,GOV_WGI_CC_EST,GOV_WGI_PV_EST,GOV_WGI_RL_EST,IP.JRN.ARTC.SC,IT.CEL.SETS.P2,IT.NET.BBND.P2,NY.GDP.PCAP.PP.CD,SE.TER.ENRR,TX.VAL.TECH.MF.ZS,predictor_year,outcome_year,era,region,income_classification,GOV_WGI_CC_EST_imputed,GOV_WGI_CC_EST_impute_level,GOV_WGI_PV_EST_imputed,GOV_WGI_PV_EST_impute_level,GOV_WGI_RL_EST_imputed,GOV_WGI_RL_EST_impute_level,IT.NET.BBND.P2_imputed,IT.NET.BBND.P2_impute_level,IT.CEL.SETS.P2_imputed,IT.CEL.SETS.P2_impute_level,NY.GDP.PCAP.PP.CD_imputed,NY.GDP.PCAP.PP.CD_impute_level,SE.TER.ENRR_imputed,SE.TER.ENRR_impute_level,IP.JRN.ARTC.SC_imputed,IP.JRN.ARTC.SC_impute_level,TX.VAL.TECH.MF.ZS_imputed,TX.VAL.TECH.MF.ZS_impute_level,group
USA,United States of America,1,87.03218182,1.1951066,-0.193136399999999,0.9606912,430843.27,112.410910606372,38.0939254696383,82304.62042728657,76.2666931152344,21.84598783555211,2023,2024,0,North America,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Top-Stable
SGP,Singapore,2,84.24944106,1.9240956,1.2040374,1.4244438,11893.6,173.199932977376,27.4343636046425,143786.13629301317,97.2886546863037,56.13837585622781,2023,2024,0,East Asia & Pacific,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
KOR,Republic of Korea,3,79.97780202,0.8788564,0.932168,1.1844569,71724.33,162.11365652794,46.5676352036327,57429.80310764019,106.709167480469,30.27627999126511,2023,2024,0,East Asia & Pacific,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
FRA,France,4,79.35754271,1.2672713,-0.0187716,0.9946177,62180.46,116.687800394775,48.6688340139444,60838.94167164238,70.4536437988281,22.383544972179177,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
GBR,United Kingdom of Great Britain and Northern Ireland,5,78.88344052,1.4745753,0.3683427,1.2703547,97535.98,122.781542240418,41.4367685540411,59911.34676632091,80.4146499633789,28.89171461135673,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
CAN,Canada,6,78.17529665,1.6263584,0.6267803,1.4361681,63719.9,94.1497268194785,42.5241770773151,64219.31739286365,76.2666931152344,16.371795438826258,2023,2024,0,North America,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
NLD,Netherlands,7,77.22980432,1.8837073,0.6084395,1.7174805,32207.08,125.272736960305,43.2644444744139,81728.69046292681,86.5938262939453,24.510646527493627,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
DEU,Germany,8,76.89826844,1.699403,0.50602,1.5855645,108782.34,124.662572774586,45.380522509099,71684.0311875583,78.5947494506836,17.78183747966227,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
FIN,Finland,9,76.48471791,2.193956,0.7648776,2.0200539,11224.2,127.47302579722,35.3318092510781,63414.99368781773,108.130409240723,9.714022595491327,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
AUS,Australia,10,76.44726827,1.8057703,0.9254365,1.5031839,54589.08,112.513177133796,36.627426494239,72272.70921366828,104.64835357666,25.25827771207813,2023,2024,0,East Asia & Pacific,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
