iso3,country_name,n_years,mean_raw_rank,sd_raw_rank,mean_percentile_rank,sd_percentile_rank,mean_score
AFG,Afghanistan,4,177.0,15.556349186104049,0.01977214474699593,0.019885204467173713,19.0073221425
AGO,Angola,4,162.5,4.795831523312717,0.09599894988948449,0.06489079635456216,25.92076467
ALB,Albania,4,84.5,3.1091263510296034,0.530065729738874,0.03306850672998706,43.4314078825
AND,Andorra,3,74.66666666666667,6.806859285554047,0.6012316282049954,0.03710969684625656,48.61638060666667
ARE,United Arab Emirates,4,18.0,3.741657386773942,0.8993224634497893,0.02457068920629796,71.55548519
ARG,Argentina,4,55.75,4.193248541803042,0.6900255850713615,0.02802078000208859,56.467930515
ARM,Armenia,4,83.25,5.123475382979798,0.5381029970137363,0.015014226211679733,44.3909968325
ATG,Antigua and Barbuda,3,102.66666666666667,2.516611478423583,0.451866673650654,0.004228413564998684,39.644926133333335
AUS,Australia,4,11.0,2.581988897471611,0.9382333624518912,0.01865951410725836,75.25937296
AUT,Austria,4,18.5,4.041451884327381,0.8957045432259079,0.03192871423779185,71.1914667475
AZE,Azerbaijan,4,81.25,20.072784228070272,0.5509365867776674,0.0958058507087768,45.472950555
BDI,Burundi,4,174.5,13.625955623979797,0.03305046788655,0.008046488771780451,21.5634714425
BEL,Belgium,4,24.25,4.349329450233296,0.864379300405457,0.030979100421382046,69.0210293475
BEN,Benin,4,111.5,22.98550267741242,0.37095898641990044,0.1896493430678672,37.2264779
BFA,Burkina Faso,4,152.75,17.951323071016244,0.15565097525597635,0.03968668219973423,28.8045699425
BGD,Bangladesh,4,88.0,14.696938456699069,0.5050271671272242,0.1285954700899309,43.2224644325
BGR,Bulgaria,4,47.25,4.9916597106239795,0.7383904070010007,0.013846449913681726,59.9214399025
BHR,Bahrain,4,58.75,6.184658438426491,0.6737500416831369,0.032404237429000594,54.3981616725
BHS,Bahamas,3,93.66666666666667,5.0332229568471645,0.49994208772091175,0.023503943126097184,41.639013006666666
BIH,Bosnia and Herzegovina,4,113.25,13.301002468485853,0.3735366973007904,0.037090817826871375,36.835818447499996
BLR,Belarus,4,96.0,17.925772879665004,0.4713798985489548,0.06276666150466122,41.227334694999996
BLZ,Belize,4,130.0,8.981462390204987,0.2767441252281724,0.06881080724423089,33.5226144325
BOL,Bolivia,4,132.75,12.41974234837422,0.26159397419436964,0.0813435304007048,33.126417315
BRA,Brazil,4,36.25,3.3040379335998358,0.797071909996705,0.035247216960406454,63.1476488025
BRB,Barbados,4,97.25,9.14239210126832,0.4615090157770102,0.01693159865278191,40.742183725000004
BRN,Brunei Darussalam,4,66.0,6.97614984548545,0.6347751838093103,0.014566480339237107,51.13282392
BTN,Bhutan,4,112.0,8.831760866327848,0.3756311683429251,0.08150678485394683,36.898327789999996
BWA,Botswana,4,109.25,8.995369179009089,0.3922668692606698,0.06367072459949118,37.923973915000005
CAF,Central African Republic,4,176.75,12.97112177107285,0.020298860668538116,0.009846579091740035,20.15829683
CAN,Canada,4,5.75,0.9574271077563381,0.9677010153098545,0.008041283339032772,77.59105129
CHE,Switzerland,4,24.75,3.593976442141304,0.862875344276064,0.01600340238210635,68.761732825
CHL,Chile,4,40.25,3.774917217635375,0.7759755119755081,0.0271590595961152,62.0191449925
CHN,China,4,17.75,3.593976442141304,0.9017713420325596,0.016880931094730725,72.0526117075
CIV,Côte D'Ivoire,4,129.75,16.580611166861935,0.28316550668270146,0.043369142129528665,33.782082665
CMR,Cameroon,4,141.5,10.908712114635717,0.2157270132917055,0.016347971069081205,31.5947487975
