iso3,country_name,n_years,mean_raw_rank,sd_raw_rank,mean_percentile_rank,sd_percentile_rank,mean_score
USA,United States of America,4,1.0,0.0,0.9944311605087794,0.00047553806602993,86.42732566500001
SGP,Singapore,4,2.0,0.0,0.9888623210175589,0.0009510761320599198,83.1983698275
GBR,United Kingdom,4,3.5,1.0,0.9806339070582532,0.005001600591238815,79.3116295125
FIN,Finland,4,5.25,2.5,0.9710757058649049,0.012757078114308913,77.6692321375
CAN,Canada,4,5.75,0.9574271077563381,0.9677010153098545,0.008041283339032772,77.59105129
NLD,Netherlands,4,8.0,2.449489742783178,0.9561134667899218,0.011487252975999765,76.329473655
JPN,Japan,4,10.5,1.7320508075688772,0.9412035828768872,0.013142476868901215,75.5640330225
AUS,Australia,4,11.0,2.581988897471611,0.9382333624518912,0.01865951410725836,75.25937296
DNK,Denmark,4,11.5,2.516611478423583,0.9365486166604035,0.01106915128472919,75.09305079
SWE,Sweden,4,11.75,3.8622100754188224,0.9359174625925251,0.017756859851567598,74.7944567175
NOR,Norway,4,12.25,0.957427107756338,0.9316458765518307,0.009458986900632429,74.514181555
TWN,Taiwan,4,16.75,2.217355782608345,0.906649988717003,0.015456462520058441,72.39943072999999
CHN,China,4,17.75,3.593976442141304,0.9017713420325596,0.016880931094730725,72.0526117075
IRL,Ireland,4,18.25,1.258305739211792,0.8987327155829,0.004626235274122229,71.6398077625
EST,Estonia,4,19.5,1.9148542155126762,0.8909981487738534,0.017852271051987022,70.7022779825
CHE,Switzerland,4,24.75,3.593976442141304,0.862875344276064,0.01600340238210635,68.761732825
ITA,Italy,4,25.5,1.2909944487358056,0.857739891401534,0.017683970938443455,68.5800123925
ESP,Spain,4,27.5,2.5166114784235836,0.8474471848008741,0.010607936271785506,68.05709898
CZE,Czech Republic,4,29.5,1.2909944487358056,0.835861552943903,0.01340230460545147,67.1020407825
QAT,Qatar,4,32.0,4.320493798938574,0.8230566008273589,0.015667289176883835,65.34010788750001
LTU,Lithuania,4,34.0,3.366501646120693,0.811419045866525,0.015057507964002464,64.63067548250001
POL,Poland,4,34.75,0.9574271077563381,0.8065062837233707,0.017108821944844456,63.940095835
SVN,Slovenia,4,37.0,4.320493798938574,0.795212403371256,0.014889979086093618,63.7467965
RUS,Russian Federation,4,38.75,0.9574271077563378,0.7842918811603489,0.01756091913294835,62.7645025875
HUN,Hungary,4,43.25,1.258305739211791,0.7593304437719988,0.01881491212955052,61.36167903
LVA,Latvia,4,44.75,5.251983752196244,0.7526456353606388,0.011116144453211916,61.070144925
BGR,Bulgaria,4,47.25,4.9916597106239795,0.7383904070010007,0.013846449913681726,59.9214399025
COL,Colombia,4,50.0,4.760952285695232,0.7229792253149037,0.013736187717760927,58.868959402499996
