era,predictor,r,p_value,n
Pre-2025,Control of Corruption,0.7480100047286192,3.076304223936034e-101,559
Pre-2025,Political Stability,0.4878197159875216,9.281787265522465e-35,559
Pre-2025,Rule of Law,0.7517698005115919,8.46256149612233e-103,559
Pre-2025,Fixed Broadband,0.7839814566935861,2.0044131361447316e-117,559
Pre-2025,Mobile Subscriptions,0.48558593231129,2.061698165138951e-34,559
Pre-2025,GDP per capita,0.773878777659046,1.409293258018347e-112,559
Pre-2025,Tertiary Enrolment,0.7483829861798125,2.1600399752543405e-101,559
Pre-2025,Journal Articles,0.3337094991103009,5.239995398284014e-16,559
Pre-2025,High-Tech Exports,0.4780253598115045,2.9413449861369655e-33,559
2025,Control of Corruption,0.6162829288700531,1.1196905451889438e-21,194
2025,Political Stability,0.2679467081441292,0.00015856843064606855,194
2025,Rule of Law,0.5977169582359377,3.5507498516579095e-20,194
2025,Fixed Broadband,0.6611633869026443,9.445740017022238e-26,194
2025,Mobile Subscriptions,0.3436972046099684,9.271124909084216e-07,194
2025,GDP per capita,0.6799067628420657,1.1445349376869851e-27,194
2025,Tertiary Enrolment,0.6837022355476834,4.498191900063816e-28,194
2025,Journal Articles,0.3401686690036016,1.2167593662531082e-06,194
2025,High-Tech Exports,0.4408428737580936,1.2504089378470913e-10,194
