era,predictor,mean_abs_shap
Pre-2025,Journal Articles (log),0.13679395372676867
Pre-2025,Fixed Broadband,0.08592446655380254
Pre-2025,GDP per capita,0.07820952828281551
Pre-2025,Control of Corruption,0.05273606522701457
Pre-2025,Tertiary Enrolment,0.05129960927465697
Pre-2025,High-Tech Exports,0.0307416721468148
Pre-2025,Mobile Subscriptions,0.02506915933849756
Pre-2025,Political Stability,0.00948904381813353
2025,Journal Articles (log),0.18036069410480413
2025,Tertiary Enrolment,0.07215740117236238
2025,GDP per capita,0.0714028702449863
2025,Fixed Broadband,0.04107165190166615
2025,Control of Corruption,0.030452376886088137
2025,High-Tech Exports,0.02655525634601146
2025,Political Stability,0.015677471221546183
2025,Mobile Subscriptions,0.006923051457221862
