era,predictor,split_importance_regression,split_importance_classification
Pre-2025,Control of Corruption,0.08991543322403464,0.10984002099121694
Pre-2025,Political Stability,0.018524974161021526,0.044328782839957226
Pre-2025,Fixed Broadband,0.08374891813750666,0.19201093011384324
Pre-2025,Mobile Subscriptions,0.010694656112620366,0.04986197077893085
Pre-2025,GDP per capita,0.4873870509960852,0.16806619142432652
Pre-2025,Tertiary Enrolment,0.03454565443150447,0.11698056733929223
Pre-2025,Journal Articles (log),0.2640861173642979,0.24846227306594115
Pre-2025,High-Tech Exports,0.011097195572929236,0.07044926344649195
2025,Control of Corruption,0.05994692592425217,0.07699929415912518
2025,Political Stability,0.01762971408831205,0.060713021123203384
2025,Fixed Broadband,0.05054861959144709,0.11006709127975643
2025,Mobile Subscriptions,0.018474885517261636,0.032373788631511496
2025,GDP per capita,0.05747181266075766,0.14853076940271945
2025,Tertiary Enrolment,0.027600986910755233,0.16870866424605288
2025,Journal Articles (log),0.7487086434262525,0.33658087266124037
2025,High-Tech Exports,0.019618411880961625,0.06602649849639078
